title,date
Zeus eet ribbetjes!,2007-03-22T19:00:00+00:00
Ledenvergadering,2007-05-09T19:00:00+00:00
Ledenvergadering 31 Oktober 2007,2007-10-31T19:00:00+00:00
Kroegentocht!,2007-11-07T21:00:00+00:00
Webapplication Security Les,2007-11-14T18:00:00+00:00
Zeus Refresh!,2008-02-02T00:00:00+00:00
Introductie tot LaTeX,2008-02-11T17:30:00+00:00
Lezing over Grid Computing,2008-02-20T19:00:00+00:00
Zeus goes FOSDEM,2008-02-23T00:00:00+00:00
Zeus Goes FOSDEM 2008,2008-02-23T08:45:00+00:00
Software Security Les,2008-03-19T20:00:00+00:00
Lezing: Trends in Breedbandcommunicatie en Gedistribueerde Software,2008-04-16T18:00:00+00:00
Ubuntu Introductieles,2008-11-17T20:00:00+00:00
Latex Introductieles,2008-11-20T19:30:00+00:00
Star Trek,2009-06-25T00:00:00+00:00
"Zeus-leden, verenigt u!",2009-09-30T18:00:00+00:00
LaTeX-les,2009-10-27T19:00:00+00:00
TechEd 2009,2009-11-18T20:00:00+00:00
Technology Startups: Pitfalls for technical entrepreneurs.,2010-02-10T20:00:00+00:00
TronBot coding marathon,2010-02-24T14:00:00+00:00
Infosessie Vlaamse Programmeerwedstrijd,2010-03-10T20:00:00+00:00
Plugg 2010,2010-03-11T10:00:00+00:00
Vlaamse Programmeerwedstrijd,2010-03-17T14:00:00+00:00
Zeus ledenvergadering,2010-10-06T19:30:00+00:00
Open-source gaming night,2010-10-13T19:30:00+00:00
LaTeX les,2010-10-19T19:00:00+00:00
Django-les,2010-10-21T19:00:00+00:00
Android-development introductie,2010-10-27T19:30:00+00:00
Haskell Introductie,2010-11-05T15:00:00+00:00
Ubuntu les,2010-11-09T19:00:00+00:00
Durf Ondernemen kickoff,2010-11-22T19:00:00+00:00
Beheer je source code met Git!,2010-12-02T19:00:00+00:00
Fosdem 2011,2011-02-05T10:00:00+00:00
Smalltalk/StratifiedJS,2011-04-27T19:00:00+00:00
Ledenvergadering & ribbetjes,2011-05-17T17:30:00+00:00
Bezoek datacenter S10 & Ledenvergadering,2011-10-03T17:45:00+00:00
"No more lies, just benchmarks",2011-10-20T19:00:00+00:00
Windows Phone 7.5: Build an application in 4 hours,2011-11-04T09:00:00+00:00
Ubuntu-les,2011-11-22T19:00:00+00:00
Fosdem 2012,2012-02-04T10:00:00+00:00
Agile Software Development in de praktijk,2012-03-15T19:00:00+00:00
Durf Ondernemen Speeddating,2012-03-28T19:00:00+00:00
Vlaamse Programmeerwedstrijd 2012,2012-04-18T11:00:00+00:00
Afsluitende ledenvergadering & ribbetjes,2012-05-15T17:30:00+00:00
Let's get physical!,2012-10-09T17:30:00+00:00
LaTeX-les 2012,2012-11-05T19:00:00+00:00
"Gamers, assemble!",2012-11-09T16:00:00+00:00
Rondleiding: Datacenter S10 & Supercomputer,2012-11-22T18:00:00+00:00
FOSDEM 2013,2013-02-02T10:00:00+00:00
Collaborate with Git,2013-02-21T19:00:00+00:00
Google Summer of Code,2013-04-15T19:00:00+00:00
Vlaamse Programmeerwedstrijd & oefenwedstrijd,2013-04-17T12:30:00+00:00
Ledenvergadering & Ribbetjesavond,2013-05-14T17:30:00+00:00
Kom en ontdek Zeus!,2013-10-01T17:30:00+00:00
Introduction to Python,2013-10-17T19:00:00+00:00
"Geeks, attack!",2013-11-08T16:00:00+00:00
LaTeX-les 2013,2013-11-19T19:00:00+00:00
FOSDEM 2014,2014-02-01T10:00:00+00:00
Kickoff Robotcompetitie,2014-02-18T19:00:00+00:00
Collaborate with Git(Hub),2014-02-25T19:00:00+00:00
Google Summer of Code 2014,2014-03-05T19:00:00+00:00
Film-avond: 'Her',2014-03-19T21:30:00+00:00
Rondleiding datacenter en supercomputer,2014-10-02T17:30:00+00:00
Spelletjesavond,2014-10-09T17:30:00+00:00
LaTeX-les 2014,2014-10-15T19:00:00+00:00
JavaScript op het moderne web en data visualisaties met D3.js,2014-10-28T19:30:00+00:00
"Geeks, Attack! 2014",2014-11-07T16:00:00+00:00
Introductie tot Haskell,2014-11-13T19:00:00+00:00
Introductie tot Ruby,2014-11-25T19:00:00+00:00
Identiteit en Toegangscontrole in de Cloud,2014-12-04T19:00:00+00:00
Zeus goes FOSDEM 2015 - carpool mee,2015-01-31T09:00:00+00:00
Lessenreeks Haskell - een functionele programmeertaal,2015-02-18T18:30:00+00:00
Vlaamse Programmeerwedstrijd,2015-02-25T11:00:00+00:00
"Git, de ""stomme"" content tracker",2015-02-26T19:00:00+00:00
ULYSSIS Open Source Jobbeurs,2015-03-25T10:00:00+00:00
Python voor Gevorderden,2015-03-26T18:30:00+00:00
Zeus Lightning Talks,2015-04-21T18:30:00+00:00
Tiles & Terminals,2015-05-05T17:30:00+00:00
"Ledenvergadering, verkiezingen en ribbetjesavond",2015-05-05T17:30:00+00:00
Zeus Codesprint!,2015-09-07T08:00:00+00:00
Linux Install Party,2015-09-30T17:30:00+00:00
"Geeks, Attack! IV",2015-10-30T16:00:00+00:00
Scripting in Sed,2015-11-03T19:00:00+00:00
LaTeX Les 2015,2015-11-09T19:00:00+00:00
GitHub talk: Cooperation in GitHub,2015-11-10T13:00:00+00:00
Richard Stallman&#58; Copyright vs. Community,2015-11-17T19:30:00+00:00
FOSDEM 2016,2016-01-30T10:00:00+00:00
Hub voor Google Hashcode 2016,2016-02-11T18:30:00+00:00
3D-animatie met Z-flux,2016-02-23T13:00:00+00:00
AWK-les,2016-02-23T18:00:00+00:00
Vlaamse Programmeerwedstrijd 2016,2016-03-02T00:00:00+00:00
Xtext Workshop,2016-04-26T18:00:00+00:00
Verkiezingen & Ribbetjesavond,2016-05-03T18:00:00+00:00
Linux Install Party,2016-10-05T17:00:00+00:00
Bezoek datacenter,2016-10-10T17:45:00+00:00
Spelletjesavond I,2016-10-19T18:00:00+00:00
Latex les,2016-10-25T19:00:00+00:00
RUST les,2016-10-26T19:00:00+00:00
Gala-avond,2016-10-31T20:00:00+00:00
25h codenight,2016-11-01T00:00:00+00:00
"Geeks, Attack! V",2016-11-04T16:00:00+00:00
Exotische en frustrerende talen avond,2016-12-07T18:00:00+00:00
FOSDEM,2017-02-04T00:00:00+00:00
Hashcode,2017-02-23T18:30:00+00:00
HTTPizza,2017-02-27T18:00:00+00:00
Vlaamse Programmeerwedstrijd,2017-03-15T10:45:00+00:00
Workshop - Je eigen programmeertaal,2017-03-22T19:00:00+00:00
App development - iOS,2017-03-29T19:00:00+00:00
Spelen met FPGAs,2017-04-27T19:00:00+00:00
Lightning Talks: Heracles Editie,2017-05-02T19:00:00+00:00
Zeus Kiest,2017-05-16T18:00:00+00:00
Zeus op Student Kick-Off,2017-09-27T12:00:00+00:00
De grote Zeus introductie quiz,2017-10-05T17:45:00+00:00
Hydra Introsessie & Codenight,2017-10-16T18:00:00+02:00
Spelletjesavond I,2017-10-19T18:00:00+00:00
"Geeks, Attack! VI",2017-10-27T16:00:00+00:00
Spelletjesavond II,2017-10-30T17:30:00+00:00
Nanopixel,2017-11-07T20:00:00+00:00
The Web We Take for Granted,2017-11-23T19:30:00+00:00
Hashcode,2018-03-01T18:30:00+00:00
Vlaamse Programmeerwedstrijd,2018-03-14T10:00:00+00:00
Lasershoot,2018-03-21T18:00:00+00:00
BottleBats v2.018,2018-03-26T18:00:00+00:00
Lightning Talks: Titan Edition,2018-05-03T18:30:00+00:00
Zeus Kiest,2018-05-08T18:00:00+00:00
