"starttime","total_price"
"2015-04-02","3600.0"
"2015-04-21","5390.0"
"2015-04-27","0.0"
"2015-04-28","4800.0"
"2015-05-05","1200.0"
"2015-05-07","4785.0"
"2015-05-12","4200.0"
"2015-05-13","0.0"
"2015-05-17","0.0"
"2015-06-01","0.0"
"2015-06-04","3000.0"
"2015-06-09","0.0"
"2015-06-11","2400.0"
"2015-06-15","600.0"
"2015-06-17","1800.0"
"2015-06-18","1200.0"
"2015-06-19","0.0"
"2015-06-22","0.0"
"2015-06-23","0.0"
"2015-06-24","5400.0"
"2015-06-26","0.0"
"2015-07-07","3600.0"
"2015-07-28","0.0"
"2015-08-04","1800.0"
"2015-08-07","0.0"
"2015-08-11","5975.0"
"2015-08-18","0.0"
"2015-08-24","0.0"
"2015-08-25","3000.0"
"2015-08-26","0.0"
"2015-08-27","1800.0"
"2015-08-28","0.0"
"2015-09-01","3000.0"
"2015-09-02","0.0"
"2015-09-07","8365.0"
"2015-09-08","0.0"
"2015-09-09","1800.0"
"2015-09-11","0.0"
"2015-09-15","3600.0"
"2015-09-18","2400.0"
"2015-09-24","4780.0"
"2015-09-25","2400.0"
"2015-09-28","4780.0"
"2015-09-29","3600.0"
"2015-09-30","22130.0"
"2015-10-01","0.0"
"2015-10-02","600.0"
"2015-10-06","2400.0"
"2015-10-08","10800.0"
"2015-10-12","1800.0"
"2015-10-13","2400.0"
"2015-10-15","6000.0"
"2015-10-16","0.0"
"2015-10-19","0.0"
"2015-10-20","10755.0"
"2015-10-22","2400.0"
"2015-10-27","6000.0"
"2015-10-29","4200.0"
"2015-10-30","0.0"
"2015-11-03","0.0"
"2015-11-04","4200.0"
"2015-11-05","0.0"
"2015-11-09","0.0"
"2015-11-10","0.0"
"2015-11-12","7050.0"
"2015-11-16","0.0"
"2015-11-17","3600.0"
"2015-11-19","11950.0"
"2015-11-20","0.0"
"2015-11-23","2390.0"
"2015-11-24","6450.0"
"2015-11-26","3600.0"
"2015-12-02","2400.0"
"2015-12-03","1200.0"
"2015-12-04","1800.0"
"2015-12-07","0.0"
"2015-12-08","10320.0"
"2015-12-09","4780.0"
"2015-12-10","0.0"
"2015-12-15","3000.0"
"2015-12-17","0.0"
"2015-12-29","0.0"
"2016-01-04","0.0"
"2016-01-12","540.0"
"2016-01-14","2400.0"
"2016-01-17","4635.0"
"2016-01-21","1160.0"
"2016-01-27","2280.0"
"2016-02-04","1200.0"
"2016-02-08","9560.0"
"2016-02-09","3000.0"
"2016-02-11","4230.0"
"2016-02-12","1800.0"
"2016-02-16","4800.0"
"2016-02-18","4050.0"
"2016-02-22","2785.0"
"2016-02-23","5400.0"
"2016-02-25","3765.0"
"2016-02-26","0.0"
"2016-02-29","7170.0"
"2016-03-01","7785.0"
"2016-03-03","6320.0"
"2016-03-07","6860.0"
"2016-03-09","1800.0"
"2016-03-10","7540.0"
"2016-03-14","3500.0"
"2016-03-15","6020.0"
"2016-03-16","0.0"
"2016-03-17","3000.0"
"2016-03-22","4220.0"
"2016-03-23","4200.0"
"2016-03-24","8800.0"
"2016-03-29","2610.0"
"2016-03-30","5400.0"
"2016-03-31","2470.0"
"2016-04-03","0.0"
"2016-04-04","3000.0"
"2016-04-06","4800.0"
"2016-04-12","1800.0"
"2016-04-13","2400.0"
"2016-04-14","2000.0"
"2016-04-15","2025.0"
"2016-04-18","3640.0"
"2016-04-19","1750.0"
"2016-04-21","1670.0"
"2016-04-25","8020.0"
"2016-04-26","7105.0"
"2016-04-29","0.0"
"2016-05-10","3600.0"
"2016-05-12","4500.0"
"2016-05-22","4775.0"
"2016-05-25","2900.0"
"2016-05-26","1200.0"
"2016-05-27","2790.0"
"2016-05-29","1200.0"
"2016-05-30","3500.0"
"2016-05-31","3350.0"
"2016-06-04","2400.0"
"2016-06-09","2900.0"
"2016-06-11","1710.0"
"2016-06-14","1200.0"
"2016-06-16","3000.0"
"2016-06-17","1450.0"
"2016-06-19","680.0"
"2016-06-21","4510.0"
"2016-06-24","0.0"
"2016-06-29","4780.0"
"2016-07-05","4830.0"
"2016-07-12","3665.0"
"2016-07-25","4500.0"
"2016-07-26","10380.0"
"2016-08-01","0.0"
"2016-08-08","1700.0"
"2016-08-10","2770.0"
"2016-08-12","7900.0"
"2016-08-15","4050.0"
"2016-08-18","2400.0"
"2016-08-25","7210.0"
"2016-08-29","1700.0"
"2016-08-30","6000.0"
"2016-09-05","41886.0"
"2016-09-06","6210.0"
"2016-09-08","2410.0"
"2016-09-09","2400.0"
"2016-09-12","460.0"
"2016-09-13","4500.0"
"2016-09-20","4500.0"
"2016-09-22","1800.0"
"2016-09-27","2250.0"
"2016-09-29","3100.0"
"2016-10-05","12600.0"
"2016-10-10","5655.0"
"2016-10-17","5590.0"
"2016-10-18","4800.0"
"2016-10-19","11820.0"
"2016-10-20","3700.0"
"2016-10-24","3650.0"
"2016-10-25","4050.0"
"2016-10-26","8400.0"
"2016-11-01","4820.0"
"2016-11-03","1990.0"
"2016-11-04","34600.0"
"2016-11-07","9200.0"
"2016-11-08","2750.0"
"2016-11-09","0.0"
"2016-11-14","1740.0"
"2016-11-16","3000.0"
"2016-11-17","7490.0"
"2016-11-18","1200.0"
"2016-11-21","0.0"
"2016-11-22","2400.0"
"2016-11-23","3000.0"
"2016-11-24","3000.0"
"2016-11-29","4390.0"
"2016-11-30","2710.0"
"2016-12-01","4550.0"
"2016-12-06","6000.0"
"2016-12-07","22705.0"
"2016-12-08","2500.0"
"2016-12-09","1030.0"
"2016-12-13","0.0"
"2016-12-14","600.0"
"2016-12-20","2400.0"
"2017-02-20","5975.0"
"2017-02-21","2130.0"
"2017-02-24","1480.0"
"2017-02-28","3000.0"
"2017-03-06","3250.0"
"2017-03-07","5400.0"
"2017-03-08","5975.0"
"2017-03-13","3960.0"
"2017-03-14","3000.0"
"2017-03-15","2390.0"
"2017-03-16","2250.0"
"2017-03-21","4800.0"
"2017-03-22","3320.0"
"2017-03-23","7170.0"
"2017-03-27","2290.0"
"2017-03-28","850.0"
"2017-03-29","0.0"
"2017-03-30","0.0"
"2017-04-06","1200.0"
"2017-04-11","1800.0"
"2017-04-18","2040.0"
"2017-04-25","2400.0"
"2017-04-26","2390.0"
"2017-04-27","8365.0"
"2017-05-02","4200.0"
"2017-05-03","5065.0"
"2017-05-04","2400.0"
"2017-05-09","8520.0"
"2017-05-11","1520.0"
"2017-05-12","2400.0"
"2017-05-22","2705.0"
"2017-05-23","3000.0"
"2017-05-30","1790.0"
"2017-06-05","3250.0"
"2017-06-15","1200.0"
"2017-06-16","1750.0"
"2017-06-21","4780.0"
"2017-06-28","1880.0"
"2017-07-05","4850.0"
"2017-07-31","2980.0"
"2017-08-31","4200.0"
"2017-09-07","2400.0"
"2017-09-11","3420.0"
"2017-09-19","2400.0"
"2017-09-28","3600.0"
"2017-10-02","6220.0"
"2017-10-03","4350.0"
"2017-10-04","900.0"
"2017-10-05","25095.0"
"2017-10-10","3585.0"
"2017-10-12","7180.0"
"2017-10-16","18725.0"
"2017-10-18","3600.0"
"2017-10-19","7490.0"
"2017-10-26","4200.0"
"2017-10-30","15535.0"
"2017-11-09","2400.0"
"2017-11-13","1710.0"
"2017-11-14","2400.0"
"2017-11-15","6100.0"
"2017-11-16","2400.0"
"2017-11-21","4200.0"
"2017-11-22","2080.0"
"2017-11-27","1060.0"
"2017-11-29","2400.0"
"2017-11-30","10335.0"
"2017-12-04","6210.0"
"2017-12-05","1800.0"
"2017-12-06","4200.0"
"2017-12-07","3960.0"
"2017-12-08","1700.0"
"2017-12-13","3080.0"
"2017-12-14","4200.0"
"2017-12-19","4800.0"
"2017-12-20","3000.0"
"2017-12-21","2830.0"
"2018-01-03","2390.0"
"2018-01-08","1695.0"
"2018-01-14","1800.0"
"2018-02-12","5960.0"
"2018-02-13","2400.0"
"2018-02-19","4590.0"
"2018-02-21","6000.0"
"2018-02-22","3975.0"
"2018-02-27","6000.0"
"2018-02-28","5020.0"
"2018-03-01","5400.0"
"2018-03-06","1800.0"
"2018-03-07","6550.0"
"2018-03-08","3180.0"
"2018-03-09","1580.0"
"2018-03-12","3670.0"
"2018-03-13","1800.0"
"2018-03-16","3585.0"
"2018-03-19","0.0"
"2018-03-20","5400.0"
"2018-03-22","1390.0"
"2018-03-26","23900.0"
"2018-03-27","1200.0"
"2018-03-28","3600.0"
"2018-04-04","1650.0"
"2018-04-10","580.0"
"2018-04-11","2400.0"
"2018-04-16","4780.0"
